curr,dest,arrival_time,end_time,wait_time
6,8,5870.8416624200645,5965,94.1583375799355
3,9,5980.721464196601,6056,75.27853580339888
3,5,5992.105086040196,6017,24.8949139598044
1,4,6021.773337263739,6104,82.22666273626055
1,7,6050.715037021275,6127,76.28496297872516
4,1,6200.135192989374,6241,40.864807010625555
1,3,6229.759505588466,6294,64.2404944115342
1,2,6343.505100688643,6367,23.494899311356676
1,3,6440.933766640397,6466,25.066233359602847
1,9,6599.7140722215,6656,56.28592777850008
1,9,6739.625002099327,6786,46.37499790067341
1,8,6873.507690693763,7047,173.49230930623708
4,1,6894.542639939648,7014,119.45736006035168
1,6,6908.490190114366,7003,94.50980988563424
2,8,6908.632329984004,7082,173.36767001599583
3,9,7074.239407834477,7146,71.76059216552312
1,3,7254.20583308744,7304,49.794166912560286
1,4,7613.697713107135,7647,33.302286892864686
1,8,7895.383605514839,7952,56.616394485161436
3,8,8174.405025840225,8229,54.59497415977512
3,8,8260.160095650537,8321,60.83990434946281
1,6,8513.30742457919,8581,67.69257542080959
1,4,8945.586852158529,9001,55.41314784147107
3,5,8970.028580940343,9046,75.97141905965691
8,9,9135.453204674483,9164,28.54679532551745
4,1,9730.367804876518,9769,38.632195123482234
1,8,9790.399377610835,9845,54.60062238916544
1,2,9874.818255470489,9890,15.18174452951098
1,6,9965.441346028978,10006,40.55865397102207
1,3,10033.15728833977,10077,43.842711660230634
1,5,10051.936472867805,10096,44.063527132195304
1,3,10289.078122243394,10326,36.92187775660568
4,1,10482.707767277154,10510,27.292232722846165
4,1,10697.04454727324,10736,38.95545272675918
1,6,10990.74786473536,11025,34.252135264639946
3,4,11021.390768076697,11075,53.609231923303014
1,3,11201.411437198169,11232,30.58856280183136
1,3,11202.33882491409,11232,29.661175085910145
1,2,11248.768903312892,11270,21.23109668710822
1,4,11799.289750703885,11847,47.71024929611485
3,9,12316.758969144039,12381,64.24103085596107
1,8,12460.610355088815,12513,52.389644911185314
4,9,12602.61515271182,12651,48.384847288180026
4,9,12613.60745020365,12651,37.39254979635007
1,4,12694.220593394446,12730,35.77940660555396
4,1,12704.186299581377,12772,67.81370041862283
1,3,13009.987130991114,13039,29.0128690088859
3,5,13403.685823739263,13452,48.31417626073744
1,3,13778.673027200713,13813,34.32697279928652
1,3,13815.402551110454,13852,36.597448889546285
3,4,14043.110579444978,14057,13.889420555022298
1,4,14302.312869052608,14339,36.68713094739178
1,4,15000.888081071123,15039,38.11191892887655
1,9,15304.710821615132,15365,60.28917838486814
3,9,15394.026756698622,15456,61.973243301377806
1,4,15628.711075001236,15660,31.288924998763832
1,3,15895.554602642245,15928,32.4453973577547
