curr,dest,arrival_time,end_time,wait_time
1,9,9821.892187866286,9905,83.1078121337141
1,4,9893.709416748168,10010,116.29058325183178
1,6,9965.441346028978,10033,67.55865397102207
1,4,9971.142877733742,10010,38.85712226625765
1,5,10051.936472867805,10136,84.0635271321953
1,3,10289.078122243394,10353,63.92187775660568
1,6,10990.74786473536,11076,85.25213526463995
3,4,11021.390768076697,11113,91.60923192330301
1,3,11201.411437198169,11252,50.58856280183136
1,3,11202.33882491409,11252,49.661175085910145
1,9,11225.382526395906,11310,84.6174736040939
1,6,11695.976181306123,11785,89.02381869387682
3,9,12316.758969144039,12400,83.24103085596107
1,4,12440.514920856214,12545,104.4850791437857
1,8,12460.610355088815,12586,125.38964491118531
4,9,12613.60745020365,12701,87.39254979635007
1,4,12694.220593394446,12806,111.77940660555396
1,3,13009.987130991114,13063,53.0128690088859
3,5,13403.685823739263,13429,25.31417626073744
1,3,13778.673027200713,13845,66.32697279928652
1,2,13809.553080450769,13828,18.446919549231097
1,2,14002.887830080474,14037,34.11216991952642
3,4,14043.110579444978,14076,32.8894205550223
1,5,14744.663528168898,14815,70.33647183110224
1,8,15048.46533688648,15146,97.53466311351985
3,9,15394.026756698622,15493,98.9732433013778
1,4,15543.042946684514,15638,94.95705331548561
1,5,15720.578875646053,15786,65.42112435394665
1,9,15990.722323265678,16112,121.27767673432209
1,7,16077.854678637323,16220,142.14532136267735
1,4,16301.892357067296,16381,79.10764293270404
1,9,16335.05631953663,16430,94.94368046336967
1,7,16548.36162317476,16674,125.63837682524172
1,4,17065.434846297052,17148,82.56515370294801
1,3,17182.37040263778,17239,56.62959736221819
1,5,17333.003824980482,17394,60.99617501951798
3,8,17425.066280854768,17493,67.93371914523232
